名称,省,市,县,地址,介绍,985,211,软科排名,学校类型,学校属性,特色专业,2021分数线,2020分数线,2019分数线
四川音乐学院,四川,成都市,武侯区,"锦江校区：四川省成都市武侯区新生路6号,新都校区：四川省成都市新都区蜀龙大道中段620号",四川音乐学院前身是创建于1939年的“四川省立戏剧教育实验学校”，1959年更为现名，成为当时国内具有本科办学层次的六所专业音乐院校之一。学校有武侯、新都、临空经济区三个校区，总占地面积近2500亩，设有24个教学部门、10个研究机构。办学层次涵盖研究生教育、本科教育、成人教育和中等艺术教育，在校生规模15000余人，是全国11所独立设置的专业音乐学院之一。学校,否,否,,艺术类,公办,"['音乐表演', '播音与主持艺术', '广播电视编导', '影视摄影与制作', '公共事业管理', '舞蹈学', '舞蹈编导', '非物质文化遗产保护', '音乐治疗', '音乐教育']",,,
广西艺术学院,广西,南宁市,,广西壮族自治区南宁市教育路七号,广西艺术学院位于广西壮族自治区首府南宁市，是全国8所综合性普通本科高等艺术院校之一。现为国家文化和旅游部与广西壮族自治区人民政府共建高校，教育部本科教学评估优秀高校，广西特色优势高校，广西博士单位立项建设高校，国家中西部高校基础能力建设工程高校。学校前身是我国著名音乐家满谦子先生和现代杰出画家、美术教育家徐悲鸿先生以及著名作曲家、音,否,否,,艺术类,公办,"['广告学', '戏剧影视文学', '流行音乐', '美术学', '绘画', '中国画', '书法学', '雕塑', '摄影', '艺术设计学']", 文科：535.00 理科：460.00 , 文科：509.00 理科：460.00 , 文科：530.00 理科：455.00 
吉林动画学院,吉林,长春市,长春高新技术产业开发区,吉林省长春市高新区博识路168号,吉林动画学院创建于2000年6月，2008年经教育部批准为民办普通本科高校。目前，学校下设动画艺术学院、漫画学院、游戏学院、设计与产品学院、电影学院、电影技术学院、虚拟现实学院、文化产业商学院、民航学院、马克思主义学院、通识教育学院、国际交流学院共12个学院及体育俱乐部，开设动画、漫画、数字媒体艺术、视觉传达设计等36个本科专业(含中外合作办学)，涵,否,否,,艺术类,民办,"['动画', '数字媒体艺术', '艺术与科技', '视觉传达设计', '环境设计', '广播电视编导', '摄影', '网络与新媒体', '播音与主持艺术', '戏剧影视文学']", 文科：523.00 理科：415.00 , 文科：504.00 理科：449.00 , 文科：508.00 理科：441.00 
新疆交通职业技术学院,新疆,乌鲁木齐市,,新疆维吾尔自治区乌鲁木齐市米东区永顺街478号,新疆交通职业技术学院始建于1953年，是经新疆维吾尔自治区人民政府批准成立、国家教育部备案的一所以工科为主，多学科、多层次的公办普通高等职业院校，是自治区唯一一所以培养交通运输类专门人才为主的综合性高等职业院校，隶属于自治区交通运输厅，被誉为“新疆交通运输人才摇篮”。学院位于乌鲁木齐市米东区，校园占地858.73亩，建筑面积22.97万平方米，现有固,否,否,,理工类,公办,"['建设工程监理', '道路养护与管理', '工程造价', '建设工程管理', '计算机网络技术', '会计与审计', '建筑工程技术', '信息安全技术应用', '道路与桥梁工程技术', '工程测量技术']",,,
南京交通职业技术学院,江苏,南京市,,江苏省南京市江宁区龙眠大道629号,南京交通职业技术学院是公办全日制普通高等学校，坐落在历史源远流长、文化底蕴厚重，素有“六朝古都”、“十朝都会”之美誉的南京。学院创办于1953年，办学历史悠久，2001年6月，经江苏省人民政府批准独立升格为高等职业院校。立德树人六十余载，成就江苏交通“黄埔军校”。学院占地921亩，建筑面积36.9万平方米，资产总值近11亿元，教学仪器设备总值1.8亿元，全日,否,否,,理工类,公办,"['建筑装饰工程技术', '城市轨道交通工程技术', '工程造价', '建筑工程技术', '港口与航道工程技术', '汽车检测与维修技术', '现代通信技术', '智能交通技术', '城市轨道交通通信信号技术', '新能源汽车检测与维修技术']", 文科：505.00 理科：200.00 , 文科：496.00 理科：426.00 , 文科：502.00 理科：415.00 
聊城职业技术学院,山东,聊城市,,山东省聊城市花园北路133号,聊城职业技术学院是2000年10月经山东省人民政府批准成立的公办全日制普通高等专科学校，由原聊城广播电视大学、聊城卫生学校、聊城地区旅游职业中等专业学校和聊城市畜牧研究所合并组建而成。是国家级技能型紧缺人才培养院校、首批国家级示范性职教集团牵头单位、教育部现代学徒制试点单位；山东省技能型人才培养特色名校、山东省首批示范性高职院校、山东省优,否,否,,综合类,公办,"['机电一体化技术', '园林技术', '园艺技术', '畜牧兽医', '药学', '医学影像技术', '医学检验技术', '口腔医学技术', '康复治疗技术', '旅游管理']", 文科：350.00 , 文科：343.00 理科：300.00 , 文科：317.00 理科：314.00 
浙江水利水电学院,浙江,杭州市,,浙江省杭州市下沙高教园区学林街583号,"浙江水利水电学院是一所特色鲜明的工科类应用型本科高校。学校因水而生、因水而兴、因水而名，其前身可追溯到1953年的杭州水力发电学校、1956年的杭州水利学校和1958年的浙江电力专科学校，历经浙江水利电力学校、浙江水利水电学校、浙江水利水电专科学校、浙江水利水电学院等发展阶段。建校68年来，学校几易其名、数易其址，代代浙水人始终不忘水利报国的初心,勇",否,否,357,理工类,公办,"['建筑装饰工程技术', '电子信息工程技术', '机电一体化技术', '工商企业管理', '计算机应用技术', '遥感科学与技术', '人工智能', '市政工程技术', '商务英语', '金融工程']", 理科：488.00 , 理科：518.00 , 理科：500.00 
无锡工艺职业技术学院,江苏,无锡市,,江苏省宜兴市荆邑南路99号,无锡工艺职业技术学院是隶属于江苏省教育厅的全日制普通高等学校，坐落于美丽富饶、人文荟萃的陶都宜兴。前身系创建于1958年的陶都工业大学，1959年调整为江苏省宜兴陶瓷工业学校，其渊源可以追溯到1933年创办的江苏省立宜兴陶瓷科职业学校。1985年更名为江苏省宜兴轻工业学校，2004年升格为无锡工艺职业技术学院。学校坚持“德育为先、能力为本、质量立校、特色强校,否,否,,艺术类,公办,"['陶瓷设计与工艺', '材料工程技术', '环境艺术设计', '服装陈列与展示设计', '机电一体化技术', '数控技术', '电线电缆制造技术', '眼视光技术', '计算机网络技术', '物联网应用技术']", 文科：385.00 理科：212.00 , 文科：370.00 理科：224.00 , 文科：335.00 理科：219.00 
苏州工业职业技术学院,江苏,苏州市,,江苏省苏州市吴中大道国际教育园致能大道1号,苏州工业职业技术学院坐落于苏州吴中区上方山下，石湖之畔，占地500余亩，建筑总面积21余万平方，是2003年由江苏省人民政府批准成立的苏州市属公办普通高校，是中国特色高水平高职专业建设单位、江苏省文明校园、江苏省高水平高等职业院校、江苏省示范性高职院校、教育部第三批现代学徒制试点单位。学校前身可追溯到成立于1946年9月的“江苏省立苏州高级工业职业学,否,否,,理工类,公办,"['工业机器人技术', '电气自动化技术', '机电一体化技术', '电子信息工程技术', '会计信息管理', '市场营销', '电子商务', '模具设计与制造', '数控技术', '软件技术']", 文科：506.00 理科：231.00 , 文科：492.00 理科：422.00 , 文科：499.00 理科：410.00 
浙江金融职业学院,浙江,杭州市,,浙江省杭州市下沙高教园区东区学源街118号,浙江金融职业学院坐落于中国历史文化名城杭州，前身是浙江财政银行学校建立于1975年。1978年，浙江财政银行学校分设为浙江财政学校和浙江银行学校。1994年，浙江银行学校被评为国家级重点中专。2002年，经省人民政府批准并经教育部备案正式建立浙江金融职业学院。2003年，获评浙江省第一家人才培养工作水平评估优秀等级学校。2006年，被教育部、财政部确定为全国首批,否,否,,财经类,公办,"['工商企业管理', '市场营销', '商务英语', '国际商务', '电子商务', '国际金融', '会展策划与管理', '数字媒体艺术设计', '信用管理', '房地产经营与管理']", 文科：513.00 理科：401.00 , 文科：498.00 理科：433.00 , 文科：506.00 理科：425.00 
湖北第二师范学院,湖北,武汉市,,湖北省武汉市东湖新技术开发区高新二路129号,湖北第二师范学院位于九省通衢的湖北省武汉市，是一所以教师教育为主要特色，教育学、理学、工学、文学、管理学、艺术学等学科为支撑的省属普通本科院校，是湖北省教师教育的重要基地之一，为教育部人工智能助推教师队伍建设试点高校、湖北省首批“优师计划”主培学校和“湖北省2011计划”牵头高校。学校前身是1931年创立的湖北省立教育学院。湖北省工业学校、湖,否,否,312,师范类,公办,"['物流管理', '会计学', '英语', '教育学', '思想政治教育', '教育技术学', '小学教育', '计算机科学与技术', '电子信息科学与技术', '日语']", 文科：560.00 理科：486.00 , 文科：541.00 理科：512.00 , 文科：550.00 理科：488.00 
浙江机电职业技术学院,浙江,杭州市,,"滨江校区：浙江省杭州市滨江区滨文路528号,海宁校区：浙江海宁市长安镇青年路999号",浙江机电职业技术学院是一所以培养机电类高素质技术技能人才为主的全日制公办高等职业院校，是国家示范性高等职业院校，也是中国特色高水平高职学校建设单位（A档）。学校坚持“开放、合作、服务”的办学理念，秉承“求实、求精、求新”的校训。经过60多年的建设与发展，学校已成为浙江省先进制造业紧缺人才培养的重要基地，教育部53所“国家高技能型紧缺人才培,否,否,,理工类,公办,"['数控技术', '模具设计与制造', '机电一体化技术', '电气自动化技术', '工业设计', '应用电子技术', '计算机应用技术', '计算机网络技术', '市场营销', '电子商务']", 文科：484.00 理科：298.00 , 文科：465.00 理科：406.00 , 文科：458.00 理科：395.00 
浙江横店影视职业学院,浙江,金华市,,浙江省东阳市横店镇都督南街138号,浙江横店影视职业学院是浙江省目前唯一以“影视”为特色的高职院校，坐落于横店影视文化产业集聚区、被誉为“中国好莱坞”的横店影视城内，是省先进基层党组织、省平安校园、省文明单位、港澳青年影视交流实践基地。学校占地580余亩，下设影视表演学院、影视制作学院、影视美术学院、影视旅游学院、影视经济学院、继续教育学院共六个二级学院，设戏剧影视表演,否,否,,艺术类,民办,"['戏剧影视表演', '音乐表演', '人物形象设计', '舞台艺术设计与制作', '艺术设计', '工艺美术品设计', '摄影摄像技术', '新闻采编与制作（新媒体技术与应用）', '表演艺术（影视动作）', '舞蹈表演']", 文科：299.00 理科：215.00 ,,
浙江工商职业技术学院,浙江,宁波市,,浙江省宁波市海曙区机场路1988号,浙江工商职业技术学院是浙江省人民政府首批批准成立的四所全日制公办普通高等职业院校之一，前身为创建于1914年的“宁波公立甲种商业学校”。学校现为浙江省高水平高职学校建设单位、全国高职高专人才培养工作水平评估优秀学校、浙江省示范性高等职业院校，浙江省优质高等职业院校。在2021年GDI高职高专排行TOP1000榜中，学校位列全国第54名，全省第8名。学校主校区,否,否,,财经类,公办,"['建筑工程技术', '模具设计与制造', '旅游管理', '电子商务', '市场营销', '国际商务', '软件技术', '计算机网络技术', '计算机应用技术', '应用电子技术']", 文科：509.00 理科：217.00 , 文科：492.00 理科：407.00 , 文科：498.00 理科：394.00 
四川警察学院,四川,泸州市,,四川省泸州市江阳区龙透关路186号,四川警察学院是由四川省人民政府主办，省公安厅与省教育厅按职责分工共同管理的全省唯一一所全日制政法公安类普通本科院校。学校始于1950年建立的川西人民行政公署公安厅公安学校，2000年建立四川警官高等专科学校，2006年建立四川警察学院，2011年获批警务专业硕士研究生培养试点单位，2018年获批硕士学位授予权单位，是全国省属公安院校中第六所升本、第一所开展警,否,否,,政法类,公办,"['侦查学', '禁毒学', '公安管理学', '刑事科学技术', '交通管理工程', '网络安全与执法', '法学', '治安学', '安全防范工程']",,,
台州职业技术学院,浙江,台州市,,浙江省台州市经济开发区学院路788号,台州职业技术学院是一所政府举办的全日制普通高等学校，地处中国民营经济发祥地之一、长三角南翼重要制造业基地、东南沿海现代化港口城市——浙江省台州市。学校筹建于1999年；2001年5月，浙江省人民政府批准建立台州职业技术学院；2003年、2006年，浙江省台州工业学校和浙江贸易经济学校先后成建制并入。2007年，学校顺利通过教育部高职高专人才培养工作水平优秀评,否,否,,综合类,公办,"['机电一体化技术', '数控技术', '模具设计与制造', '电气自动化技术', '工业机器人技术', '建筑智能化工程技术', '工业设计', '软件技术', '新能源汽车技术', '药品质量与安全']", 文科：388.00 理科：243.00 , 文科：366.00 理科：247.00 , 文科：314.00 理科：264.00 
浙江经贸职业技术学院,浙江,杭州市,,浙江省杭州市下沙高教园东区学林街280号,浙江经贸职业技术学院是由浙江省供销合作社举办的全日制公办高职学院。其前身是创办于1979年的浙江供销学校和创办于1984年的浙江省供销社职工学院。2018年，经省编办同意，在浙江经贸职业技术学院的基础上增挂“浙江合作经济管理学院”，实行“两块牌子一套班子”管理。学校位于浙江省杭州市下沙高教园区，占地面积575亩。目前，学校设有信息技术学院、财务会计学,否,否,,财经类,公办,"['计算机应用技术', '软件技术', '动漫制作技术', '电子商务', '计算机网络技术', '生物制药技术', '数控技术', '工商企业管理', '市场营销', '应用英语']", 文科：501.00 理科：258.00 , 文科：497.00 理科：429.00 , 文科：504.00 理科：421.00 
浙江建设职业技术学院,浙江,杭州市,萧山区,浙江省杭州市萧山高教园区,浙江建设职业技术学院坐落于杭州钱塘江畔，是浙江省唯一一所公办建设类全日制高等职业院校。前身是创办于1958年的浙江省建筑工业学校，2002年1月，经浙江省政府批准正式成立。办学60多年来，学校先后被确定为中国特色高水平高职学校建设单位（专业群A类）、国家优质高职院校、国家骨干高等职业院校、全国职业院校数字校园建设样板校、全国毕业生就业典型经验高校,否,否,,理工类,公办,"['建筑工程技术', '建筑钢结构工程技术', '建设工程监理', '房地产经营与估价（智能物业管理方向）', '房地产经营与估价', '建设工程管理', '计算机应用技术', '建筑设备工程技术', '建筑智能化工程技术', '市政工程技术']", 文科：458.00 理科：277.00 , 文科：441.00 理科：201.00 , 文科：432.00 理科：217.00 
重庆科创职业学院,重庆,重庆市,永川区,重庆市永川区昌州大道西段28号,"重庆科创职业学院于1993年建校，是经教育部批准备案，具有独立颁发国家学历文凭资格的全日制民办高职院校，现有在校学生1.5万余人。学院坐落于重庆市永川国家级高新技术产业开发区，毗邻4A级茶山竹海旅游风景区，校园占地800余亩，绿树成荫，鸟语花香；现代化的教学楼、实训楼、图书馆、体育馆、游泳馆、综合运动场等,宽敞大气，现代时尚；宿舍、食堂等生活配套设",否,否,,理工类,民办,"['电子信息工程技术', '应用电子技术', '物联网应用技术', '模具设计与制造', '计算机应用技术', '软件技术（游戏软件技术方向）', '环境艺术设计', '机电一体化技术', '电气自动化技术', '工业机器人技术']",,,
湖州职业技术学院,浙江,湖州市,,浙江省湖州市学府路299号,湖州职业技术学院是一所由湖州市人民政府主办、经浙江省人民政府批准成立的全日制公办高职院校。学校位于长三角中心区域、太湖南岸、国家历史文化名城、全国生态文明先行示范区——浙江湖州。学校前身为1979年创建的嘉兴供销技工学校、嘉兴粮食技工学校、浙江电大嘉兴分校，1999年开始高等职业教育办学。建校以来，学校坚持社会主义办学方向，全面贯彻党的教育方,否,否,,综合类,公办,"['商务英语', '建筑工程技术', '建设工程管理', '服装与服饰设计', '旅游管理', '机电一体化技术', '工业过程自动化技术', '市场营销', '电子商务', '跨境电子商务']", 文科：403.00 理科：335.00 , 文科：383.00 理科：334.00 , 文科：372.00 
西交利物浦大学,江苏,苏州市,,江苏省苏州市苏州工业园区独墅湖科教创新区仁爱路111号,西交利物浦大学（XJTLU，简称“西浦”）是经中国教育部批准，由西安交通大学和英国利物浦大学合作创立的，具有独立法人资格和鲜明特色的新型国际大学。她是中国目前唯一一所以理工管起步，强强合作，拥有中华人民共和国学士学位和英国利物浦大学学位授予权的中外合作大学。国际领先的高等教育西交利物浦大学面向海内外招收本科生、研究生，目前已有包括45个本科,否,否,,综合类,中外合作办学,"['国际事务与国际关系', '国际商务', '工商管理', '经济学', '经济与金融', '会计学', '人力资源管理', '市场营销', '信息管理与信息系统', '城乡规划']",,,
浙江商业职业技术学院,浙江,杭州市,,浙江省杭州市滨江区滨文路470号,浙江商业职业技术学院前身为创办于1911年的杭州中等商业学堂。一百多年来，学校秉承“诚、毅、勤、朴”的校训，坚持“育人为本，服务社会”的办学方针，培养了一大批专业技术人才，涌现出经济学家骆耕漠、爱国人士章乃器等著名校友，被誉为“浙商人才培养的摇篮”。现为国家优质专科高等职业院校、中国特色高水平专业群建设单位、全国首批现代学徒制试点高校、,否,否,,财经类,公办,"['工商企业管理', '商务英语', '市场营销', '电子商务', '计算机网络技术', '旅游英语', '导游', '应用电子技术', '电子信息工程技术', '供热通风与空调工程技术']", 文科：472.00 理科：250.00 , 文科：494.00 理科：410.00 , 文科：500.00 理科：400.00 
山西老区职业技术学院,山西,太原市,,山西省太原市和平北路东流街,山西老区职业技术学院是经山西省人民政府批准、教育部备案，具有颁发国家高等教育学历证书资格的全日制综合性高职院校。学院实行理事会统筹下的分工负责制，设有党委会、行政团队、院务委员会和工会。为弘扬和传承老区精神，学院成立了“老区精神研究中心”，创办了《山西老区职业教育》校刊。学院坐落在省城太原汾河西畔和平北路东流街，地理位置优越，交通,否,否,,综合类,民办,"['护理', '助产', '医学美容技术', '眼视光技术', '针灸推拿', '康复治疗技术', '药学', '中药学', '中医康复技术', '智慧健康养老服务与管理']",,,
日照职业技术学院,山东,日照市,东港区,山东省日照市烟台北路16号,日照职业技术学院1998年经教育部批准成为山东省第一所高等职业院校，2014年，日照广播电视大学（日照经贸学校）和日照水产技工学校并入我校。目前，共有全日制在校生16582人，教职工1056人。学校设有海洋工程学院、建筑工程学院、机电工程学院、通用航空学院、现代汽车学院、电子信息工程学院、会计学院、商学院、人文与旅游学院、创意设计学院10个二级学院，现有招,否,否,,综合类,公办,"['旅游管理', '环境工程技术', '水产养殖技术', '机电一体化技术', '工业机器人技术（校企合作）', '建筑工程技术', '工程造价', '工程测量技术', '统计与会计核算', '物联网应用技术']", 文科：396.00 理科：212.00 , 文科：349.00 理科：223.00 , 文科：298.00 理科：208.00 
新疆轻工职业技术学院,新疆,乌鲁木齐市,,新疆维吾尔自治区乌鲁木齐市米东区米东南路西四巷1147号,新疆轻工职业技术学院创办于1958年，2000年6月改制为专科层次的高等职业技术学院，是新疆首批高等职业院校，隶属于自治区工业和信息化厅。学院是国家百所骨干示范高职院校、国家优质高等职业学校，全国高职院校服务贡献50强、教育部“首批职业教育德育工作实验基地”，新疆第二产业职教园区理事长单位。李克强总理2010年3月来学院视察时称赞:“二产园区办得好，学校,否,否,,理工类,公办,"['机电一体化技术', '计算机网络技术', '电气自动化技术', '工业过程自动化技术', '工业机器人技术', '工程造价', '食品生物技术', '食品智能加工技术', '食品检验检测技术', '食品质量与安全']",,,
郑州旅游职业学院,河南,郑州市,,"校本部：河南省郑州市郑东新区金龙路188号,豫英校区：河南省郑州市管城回族区豫英路1号",郑州旅游职业学院前身是郑州旅游学校，创办于1985年，隶属于郑州市人民政府，历经四次跨越发展，于2004年5月经河南省人民政府批准、国家教育部备案成立的公办高等院校。在长期的办学历程中，学校逐步铸练形成了“立德修能、知行合一”的校训、“团结、勤勉、求实、创新”的校风、“严于修身、勤于治学”的教风、“勤学善思、求真致远”的学风。学校占地面积1251亩,否,否,,其他,公办,"['导游', '旅游管理', '商务英语', '旅游日语', '应用韩语', '应用俄语', '应用德语', '国际邮轮乘务管理', '环境艺术设计', '市场营销']", 文科：284.00 , 文科：300.00 , 文科：265.00 
新疆农业职业技术学院,新疆,昌吉回族自治州,,新疆维吾尔自治区昌吉市文化东路29号,新疆农业职业技术学院坐落于丝绸之路经济带核心区，素有“西域咽喉”美誉之称的昌吉市，是一所举办高等职业教育的公办全日制普通高等学校。学院前身是创建于1958年的昌吉农业学校，1988年隶属自治区农业厅改名为新疆农业学校，2000年升格为新疆农业职业技术学院，2008年与原自治区农业干部学校合并，整合为现今的新疆农业职业技术学院。2022年2月，自治区农业农村厅,否,否,,农林类,公办,"['商务管理（中亚贸易方向）', '园林工程技术', '园艺技术', '畜牧兽医', '环境工程技术', '药品质量与安全', '旅游英语', '商务英语', '种子生产与经营', '药品生产技术']",,,
辽宁商贸职业学院,辽宁,沈阳市,沈河区,辽宁省沈阳市沈河区东大营街11号,辽宁商贸职业学院成立于2005年4月，前身是始建于1984年的辽宁农业管理干部学院，是公办省属普通高等职业学院。学院位于中国东北中心城市沈阳，毗邻世界文化遗产清福陵，周边地区教育科研单位集中，校园环境幽雅，学术气氛浓郁，是求知治学的理想之地。学院拥有一支以专业带头人为主导，以优秀中青年教师为骨干，以双师型教师为特色的师资队伍。教师队伍中，副教,否,否,,财经类,公办,"['市场营销', '国际商务', '国际商务（报关与外销方向）', '统计与会计核算', '商务英语', '旅游英语', '旅游管理', '房地产经营与估价', '建设工程管理', '建筑电气工程技术']",,,
江苏食品药品职业技术学院,江苏,淮安市,,江苏省淮安市高教园区枚乘东路4号,江苏食品药品职业技术学院是江苏省人民政府主办、江苏省教育厅主管的全日制普通高等学校，为国家示范性（骨干）高职院校、中国特色高水平高职学校和专业建设单位、国家优质高职院校、江苏省高水平高职院校建设单位、教育部首批现代学徒制试点院校、教育部“高等职业学校学习成果积累与转换试点项目”单位、国家自然科学基金依托单位、首批国家示范性职业教育,否,否,,综合类,公办,"['药学', '药品经营与管理', '药品质量与安全', '药品生产技术', '中西面点工艺', '旅游管理', '电子商务', '电气自动化技术', '食品药品监督管理', '食品质量与安全']", 文科：404.00 理科：215.00 , 文科：381.00 理科：205.00 , 文科：352.00 理科：228.00 
三亚学院,海南,三亚市,海棠区,海南省三亚市吉阳区学院路191号,"三亚学院始建于2005年，位于海南省三亚市，由世界500强企业吉利控股集团出资建设。作为中国成长最快、最具竞争力的综合类民办大学，三亚学院始终坚持党的领导,全面贯彻党的教育方针,坚持社会主义办学方向，围绕“培养什么人、怎样培养人、为谁培养人”这一根本问题，自觉肩负大学使命与历史重任。自贸港建设以来，三亚学院前瞻海南“未来岛”的壮阔发展前景，尽",否,否,,综合类,民办,"['法学', '行政管理', '社会学', '应用心理学', '社会工作', '国际经济与贸易', '会计学', '经济与金融', '财务管理', '工商管理']", 文科：530.00 理科：432.00 , 文科：512.00 理科：452.00 , 文科：519.00 理科：434.00 
黑龙江外国语学院,黑龙江,哈尔滨市,,黑龙江省哈尔滨市利民开发区师大南路1号,黑龙江外国语学院坐落在哈尔滨市松北新区，是黑龙江外国语学院是省内唯一一所语言类高校。学校位列校友会2021中国语言类民办大学全国第一名；被评为6星级世界知名、中国顶尖民办大学。2018年学校通过中国教育部本科教学质量合格评估，2019年入选黑龙江省特色应用型本科示范高校。2021年被省教育厅评选为黑龙江省大学生就业工作示范性高校（重点培育）。学校校园占地,否,否,,语言类,民办,"['西班牙语', '德语', '法语', '日语', '俄语', '国际经济与贸易', '市场营销', '财务管理', '人力资源管理', '计算机科学与技术']", 文科：519.00 理科：415.00 , 文科：502.00 , 文科：509.00 
天津海运职业学院,天津,天津市,津南区,天津市津南区海河教育园区雅深路8号,天津海运职业学院(以下简称学院)源于1962年建立的天津市科学技术进修学院。2006年2月，经天津市人民政府批准整体改制，成立天津海运职业学院，现隶属于天津市教育委员会。学院占地面积976亩，建筑面积20万余平方米，在校生一万余名。建院以来，学院坚持“百年办学、百年立校、百年树人”发展战略，内涵建设不断深化，办学质量不断提升，社会影响力日益彰显。学院是,否,否,,综合类,公办,"['计算机网络技术', '轮机工程技术', '港口与航运管理', '电子商务', '制冷与空调技术', '国际邮轮乘务管理', '旅游管理', '理化测试与质检技术（无损检验技术）', '水路运输安全管理', '船舶电子电气技术']", 文科：301.00 ,, 文科：306.00 理科：232.00 
河南开封科技传媒学院,河南,开封市,龙亭区,河南省开封市金明大道北段,河南开封科技传媒学院（简称河南科传）创建于2003年，其前身河南大学民生学院是全国创建较早的独立学院之一。2009年，百年名校河南大学和国内著名文化传媒企业河南日报报业集团强强联合，共同举办学校。2021年2月，经教育部批准，学校转设为全日制普通本科高校，更名为河南开封科技传媒学院，成为迄今为止省内民办本科高校中唯一以省域命名的学校。建校十八年来，,否,否,,综合类,民办,"['汉语言文学', '学前教育', '英语', '法学', '人文地理与城乡规划', '电子信息科学与技术', '通信工程', '土木工程', '应用化学', '生物工程']", 文科：534.00 理科：419.00 , 文科：514.00 理科：466.00 , 文科：519.00 理科：446.00 
河南工程学院,河南,郑州市,新郑市,河南省郑州市新郑龙湖祥和路1号,河南工程学院地处河南省省会郑州市，是经国家教育部批准设立的一所省属公办普通本科院校，是河南省重点建设的“示范性应用技术类型本科院校”、国家发改委立项建设的产教融合实训基地、河南省整体转型发展试点院校、河南省硕士学位授予重点立项培育单位、河南省首批“装配式”建筑人才培训基地、河南省首批“中华优秀文化传承基地”、河南省文明校园，荣获河,否,否,396,理工类,公办,"['安全工程', '采矿工程', '纺织工程', '非织造材料与工程', '高分子材料与工程', '轻化工程', '印刷工程', '环境工程', '勘查技术与工程', '资源勘查工程']", 文科：555.00 理科：472.00 , 文科：535.00 理科：505.00 , 文科：543.00 理科：491.00 
解放军军械工程学院,河北,石家庄市,长安区,河北省石家庄市和平西路97号,中国人民解放军军械工程学院是一所以工为主，工学、军事学、管理学、哲学等学科门类比较齐全的学历教育院校，是全国重点高等院校，隶属于中国人民解放军总装备部。学院复建于1974年，1986年定名为军械工程学院。学院设有军械技术研究所、基础部、火炮工程系、光学与电子工程系、弹药工程系、导弹工程系、计算机工程系、装备指挥与管理系、电气工程系、外训系、研,否,否,,军事类,公办,"['汉语言文学', '自动化', '测控技术与仪器', '电气工程及其自动化', '信息工程', '机械工程', '光电信息科学与工程', '信息与计算科学', '计算机科学与技术']",,,
武汉纺织大学外经贸学院,湖北,武汉市,,湖北省武汉市江夏区藏龙岛科技园栗庙路19号,全国党建工作样板支部培育创建单位全国高校活力团支部中国教育十大责任诚信独立学院全国最佳独立学院湖北省普通专升本举办高校湖北省高校思想政治教育工作先进基层单位湖北省高校“两访两创”活动先进集体湖北省征兵工作突出贡献单位湖北省高校心理健康教育达标中心武汉市平安高校建设优秀单位武汉地区企事业单位平安建设优秀单位武汉纺织大学外经贸学院是2002,否,否,,综合类,民办,"['国际经济与贸易', '工商管理', '会计学', '物流管理', '市场营销', '电子商务', '国际经济与贸易', '市场营销（互联网整合营销方向）', '市场营销（跨境电商方向）', '跨境电子商务']", 文科：522.00 理科：420.00 , 文科：514.00 理科：461.00 , 文科：521.00 理科：447.00 
长春电子科技学院,吉林,长春市,朝阳区,吉林省长春市宽城区学理路333号,长春电子科技学院是一所以光电为特色的高水平应用型现代产业大学，是全国唯一一所突出光电为特色的应用型理工类院校。学校依托“中国光学英才摇篮”长春理工大学的优势专业，聚焦国家战略性新兴产业发展需求，瞄准国家新工科、新文科建设，重点培养适应新兴产业发展的高素质应用型人才。“光学之父”“两弹一星功勋奖章”获得者王大珩、中科院院士姚建铨、工,否,否,,理工类,民办,"['广告学', '汉语国际教育', '电气工程及其自动化', '自动化', '电子信息科学与技术', '汉语言文学', '会计学', '电子信息工程', '计算机科学与技术', '国际经济与贸易']",,,
中国人民解放军陆军工程大学,江苏,南京市,秦淮区,"海福巷校区：江苏省南京市秦淮区后标营路8号,双龙街校区：江苏省南京市江宁区双龙大道60号",中国人民解放军理工大学，座落在长江之滨、人文荟萃的六朝古都南京，是一所新型的综合性全军重点院校。她是由具有半个多世纪辉煌历史的全国重点高校解放军通信工程学院，点燃“亚洲第一爆”的全国重点高校解放军工程兵工程学院，开拓新中国军事气象事业先河的空军气象学院和在高科技领域一枝独秀的总参第六十三研究所合并组建，形成了强强联手、优势互补的格,否,否,,军事类,公办,"['建筑学', '通信工程', '网络工程', '工程管理', '土木工程', '电子信息工程（航空机务技术与指挥）', '通信工程（战场机动通信技术与指挥）', '光电信息科学与工程', '土木工程（阵地工程与指挥）', '道路桥梁与渡河工程（机动保障工程与指挥）']",,,
中国人民解放军战略支援部队航天工程大学,北京,北京市,,北京市怀柔区3380信箱23号,中国人民解放军装备学院是隶属总装备部的正军级军事院校，主要面向全军装备系统和航天领域培养装备指挥技术和航天指挥技术人才。学院是军队2110工程重点建设院校，经过三十多年的发展建设，形成了以军事学为主、军事学与工学、管理学、经济学、理学、法学6个门类相互融合的学位授权体系，拥有一批在全军乃至全国颇具影响的学科专业。现有2个博士后流动站、3个一,否,否,,军事类,公办,"['航天指挥', '测控工程', '武器发射工程', '遥感科学与技术（航天信息应用初级管理与技术）', '信息对抗技术（航天信息安全初级管理与技术）', '侦察情报（情报分析整编）', '测控工程（航天测控技术与指挥）', '武器发射工程（航天测发技术与指挥）', '作战环境工程（太空态势感知初级管理与技术）']",,,
