名称,省,市,县,地址,介绍,985,211,软科排名,学校类型,学校属性,特色专业,2021分数线,2020分数线,2019分数线
广东梅州职业技术学院,广东,梅州市,梅江区,"广东省梅州市梅江区学院路15号,广州梅州产业转移园蕉岭路",“世界客都”梅州千百年文教史上首间公办高职院校—广东梅州职业技术学院是一所梅州市人民政府主办的专科层次高等职业院校，以全日制高等职业学历教育为主，学制三年（主要招收普通高中和中等职业学校应届毕业生）。学院在梅州农业学校（梅州市理工学校）办学基础上，总用地面积达到640.88亩，包括“三大校区”（本部北区、东区、西区，城东校区，广梅产业园校,否,否,,综合类,公办,"['畜牧兽医', '汽车检测与维修技术', '大数据技术', '烹饪工艺与营养', '学前教育', '园艺技术', '茶叶生产与加工技术', '宠物医疗技术', '畜禽智能化养殖', '园林工程技术']",,,
广东汕头幼儿师范高等专科学校,广东,汕头市,龙湖区,广东省汕头市濠江区北山湾,2021年5月10日，教育部正式下发《教育部办公厅关于公布实施专科教育高等学校和成人高等学校备案名单的函》，公布了2021年度省级人民政府审批新设、更名、合并调整、撤销的专科层次高等学校和成人高等学校备案名单，其中，汕头市新设广东汕头幼儿师范高等专科学校获得批复，计划于2021年秋季正式开学（学校代码：14757）。优化教育布局解决粤东地区幼教资源配备需求近,否,否,,师范类,公办,"['体育保健与康复', '学前教育（师范）', '小学语文教育（师范）', '音乐表演']",,,
湖北孝感美珈职业学院,湖北,孝感市,孝南区,湖北省武汉市孝感临空经济区教育科技园纵六路,湖北孝感美珈职业学院是经湖北省人民政府批准、教育部备案的一所新型综合性全日制普通高等职业院校。学校座落于武汉北·汉孝临空经济区，近临武汉天河机场，西有美丽的蒲湖，东临孝汉大道，南临科源路。总投资18亿元，占地787亩，建筑面积37万平方米。由“抗击新冠肺炎疫情全国三八红旗手称号”获得者，中华海外联谊会常务理事及教育文化专委会副主任、中国宋庆,否,否,,综合类,民办,"['软件技术', '计算机应用技术', '移动应用开发', '大数据技术', '护理', '中医康复技术', '大数据与会计', '商务英语（跨境电商方向）', '商务英语（双语幼师方向）', '工业机器人技术']",,,
郑州医药健康职业学院,河南,郑州市,中原区,河南省郑州市新密市超化新区创业大道3号,伏羲腹丘，滔滔溱洧。山川密境，健康学府。郑州医药健康职业学院位于底蕴悠久、文化厚重、包容并蓄的中原大地，是经河南省人民政府批准，教育部备案的一所全日制医药类普通高等院校。学院全面贯彻“人才强院”的战略思想，切实加强高层次人才队伍建设，精英云集、人才荟萃。学院规划占地1500亩，规划建筑面积30万平方，基础设施功能齐全、设备先进，有体育馆、,否,否,,,民办,"['食品营养与健康', '药品生产技术', '药品经营与管理', '大数据技术', '护理', '药学', '医学检验技术', '口腔医学技术', '康复治疗技术', '老年保健与管理']",,,
郑州城建职业学院,河南,郑州市,中原区,河南省郑州市中原西路6号,【学院概况】郑州城建职业学院是经河南省人民政府批准成立、教育部备案的民办非营利性高等职业院校。学院位于郑州市中原西路6号，规划征地3000余亩、建筑面积150多万平方米，现已建成建筑面积22万平方米，可满足教学、实训、图书借阅、信息网络、学生食宿、文体活动等需要。“十四五”期间，学院将建成建筑面积33万平方米，“十四五”末，学院力争达到职教本科条,否,否,,,民办,"['建筑装饰工程技术', '建筑工程技术', '工程造价', '现代物业管理', '电梯工程技术', '智能机电技术', '计算机应用技术', '计算机网络技术', '动漫制作技术', '护理']",,,
信阳艺术职业学院,河南,信阳市,平桥区,河南省信阳市羊山新区经北一路,信阳艺术职业学院是2021年经河南省人民政府批准设立、在教育部备案、由信阳市人民政府举办的全日制普通高等职业学校。学校由潢川幼儿师范学校和信阳工业学校整合组建而成，以信阳市校区办学为主，同时保留潢川两个校区，形成一校两地三校区办学格局。原潢川幼儿师范学校初创于1907年，迄今已有115年办学历史和文化积淀。学校坐落于山水茶都河南省信阳市羊山新区，,否,否,,,公办,"['应急救援技术', '电子信息工程技术', '计算机应用技术', '软件技术', '区块链技术应用', '电子商务', '网络营销与直播电商', '研学旅行管理与服务', '数字媒体艺术设计', '书画艺术']",,,
周口文理职业学院,河南,周口市,川汇区,河南省周口市川汇区周口大道5号,周口文理职业学院是2021年经河南省政府批准成立，教育部备案的公办专科层次全日制普通高校，由周口市人民政府举办，业务上接受省教育厅领导与管理。截止2022年学校开设有学前教育、音乐教育、音乐表演、歌舞表演、书画艺术、广告艺术设计、视觉传达设计、社会体育、计算机应用技术、电子商务、酒店管理与数字化运营11个专业。学校拥有一支师德高尚、业务精良、结,否,否,,,公办,"['学前教育', '音乐教育', '音乐表演', '书画艺术', '广告艺术设计', '酒店管理与数字化运营', '计算机应用技术', '电子商务', '社会体育', '歌舞表演']",,,
洛阳文化旅游职业学院,河南,洛阳市,伊川县,河南省洛阳市伊川县彦博大道2号,,否,否,,,公办,[],,,
滨州科技职业学院,山东,滨州市,滨城区,山东省滨州市渤海二十四路728号,滨州科技职业学院是由山东省人民政府批准、教育部备案的全日制普通高职院校。学院坐落于山东省滨州市，滨州市地处黄河三角洲高效生态经济区，素有“渤海雄邦”之称，风光秀美，历史悠久，活力充盈，宜居宜业，先后获得国家卫生城市、中国特色魅力城市、全国文明城市等称号。目前学院占地533亩，建筑面积10万平方米。学院由滨州渤海教育集团投资兴办，集团经过25,否,否,,,民办,"['新能源汽车技术', '无人机应用技术', '康复治疗技术', '电子商务', '婴幼儿托育服务与管理']",,,
和君职业学院,江西,赣州市,会昌县,江西省赣州市会昌县白鹅乡和君小镇,和君职业学院，是江西省人民政府批准设立、国家教育部备案的一所非营利性、全日制民办普通高等职业院校。具有独立颁发国家高等教育学历证书的资格、纳入全国统一招生计划。目前办学层次为专科，将来计划升为本科大学。学校校园范围面积一千多亩，目前校园一期十万余平方米的校园建筑（教学区、生活及商务区、书院区）已经投入使用，2022年6月将启动校园二期工程,否,否,,,民办,"['研学旅行管理与服务', '智慧健康养老服务与管理', '体育运营与管理（马术方向）', '婴幼儿托育服务与管理', '稀土材料技术', '商务数据分析与应用', '智能机电技术', '证券实务', '智能制造装备技术']",,,
